"arbol_id","modelo_ganador","aic_browniano","aic_ou","intercepto","estimado","error_estandar","ic_inferior","ic_superior","valor_p"
"tree_7358","OU (corMartins)",38.511120886861,-86.707437517077,1.63979305377758,0.0113076529156679,0.0103950330272122,-0.00906623743577227,0.0316815432671082,0.277697358109087
"tree_4861","Browniano (corBrownian) -- OU no convergio",190.933863673707,NA,1.83795029560479,-0.0421107445466476,0.0169467505378576,-0.0753257652558333,-0.00889572383746188,0.0135913756987493
"tree_8188","OU (corMartins)",-135.785654079522,-185.14517584858,1.65924262093969,0.0210890209090415,0.0109353608132769,-0.000343892442931832,0.0425219342610149,0.0548838546742844
"tree_2106","OU (corMartins)",-104.326886964633,-158.420225918748,1.6212434957304,0.0348296156118534,0.0112747377886239,0.0127315356110178,0.056927695612689,0.0022257646284801
"tree_8987","OU (corMartins)",170.157313781985,-81.5169617059661,1.54104660617843,0.0485270105484233,0.0109013571503629,0.0271607431511038,0.0698932779457428,1.26838839290977e-05
"tree_0740","OU (corMartins)",-103.252294717268,-161.070821385799,1.62046287642233,0.0365589290930566,0.0110340475956142,0.0149325932019519,0.0581852649841613,0.00105360889781438
"tree_3295","Browniano (corBrownian) -- OU no convergio",5.01243349020012,NA,1.63975824893108,0.0732851544922944,0.010989511038808,0.0517461086485254,0.0948242003360634,1.55188458797933e-10
"tree_7977","Browniano (corBrownian) -- OU no convergio",359.0041407581,NA,1.3468915263398,0.250657150899948,0.0196719756767594,0.212100787068752,0.289213514731144,3.38689902481635e-29
"tree_1108","OU (corMartins)",-44.1359417953689,-133.560642454791,1.62697393758979,0.0305435705280318,0.0108319048001252,0.00931342723581984,0.0517737138202438,0.00517719995241182
"tree_3390","Browniano (corBrownian) -- OU no convergio",-32.5676607184868,NA,1.72868125115933,0.0271676802703944,0.0112374644840074,0.00514265460419189,0.0491927059365968,0.0163142449018761
"tree_6918","OU (corMartins)",-157.875616070945,-200.786141858795,1.62732456806819,0.0388225315672846,0.0103053774829559,0.018624362853601,0.0590207002809682,0.000204402578258202
"tree_5416","OU (corMartins)",-17.8601504469897,-111.502799850654,1.71126806332808,-0.0118096827049574,0.00739060037028954,-0.0262949932548533,0.00267562784493845,0.111277184285061
"tree_8157","OU (corMartins)",-126.796947936585,-182.045403882385,1.63507290843401,0.0315998702308427,0.010644862381723,0.0107363233422804,0.052463417119405,0.00327230605277347
"tree_8159","OU (corMartins)",285.548920011607,-81.4950939952091,1.53656369156037,0.0502757535402253,0.0109346851076555,0.0288441645469341,0.0717073425335165,6.68069792745831e-06
"tree_5105","OU (corMartins)",-174.961353581083,-200.517105617907,1.64995332024209,0.0361974723144545,0.00976532254353612,0.0170577918317066,0.0553371527972024,0.000256756414355086
"tree_3806","OU (corMartins)",-135.069280670425,-188.963469659899,1.65526648082127,0.0218680093773133,0.00930104275012879,0.00363830056839346,0.0400977181862331,0.0194661993534051
